index;k;lb;cleaning;class
synth-n_20-m_38-k_6-p_0.1.txt;2;2;2;s
synth-n_20-m_48-k_2-p_0.2.txt;2;2;2;s
synth-n_20-m_54-k_8-p_0.2.txt;3;3;3;s
synth-n_20-m_58-k_4-p_0.2.txt;4;3;0;s
synth-n_20-m_59-k_6-p_0.2.txt;3;3;3;s
synth-n_20-m_9-k_8-p_0.05.txt;0;0;0;s
synth-n_200-m_1059-k_8-p_0.05.txt;8;8;8;s
synth-n_200-m_1063-k_2-p_0.05.txt;2;2;2;s
synth-n_200-m_1075-k_10-p_0.05.txt;10;8;1;s
synth-n_200-m_1093-k_4-p_0.05.txt;4;4;4;s
synth-n_200-m_1096-k_6-p_0.05.txt;6;6;6;s
synth-n_200-m_1115-k_15-p_0.05.txt;15;9;0;s
synth-n_200-m_1151-k_25-p_0.05.txt;25;14;0;s
synth-n_200-m_1172-k_20-p_0.05.txt;20;16;2;s
synth-n_200-m_1319-k_30-p_0.05.txt;30;20;0;s
synth-n_200-m_2075-k_10-p_0.1.txt;10;10;1;s
synth-n_200-m_2076-k_6-p_0.1.txt;6;6;6;s
synth-n_200-m_2088-k_4-p_0.1.txt;4;4;4;s
synth-n_200-m_2096-k_2-p_0.1.txt;2;2;2;s
synth-n_200-m_2119-k_8-p_0.1.txt;8;8;2;s
synth-n_200-m_2270-k_20-p_0.1.txt;20;19;0;s
synth-n_200-m_2275-k_15-p_0.1.txt;15;15;0;s
synth-n_200-m_2356-k_25-p_0.1.txt;25;13;0;s
synth-n_200-m_2488-k_30-p_0.1.txt;30;27;0;s
synth-n_200-m_4097-k_2-p_0.2.txt;2;2;2;s
synth-n_200-m_4160-k_10-p_0.2.txt;10;8;0;s
synth-n_200-m_4165-k_4-p_0.2.txt;4;4;2;s
synth-n_200-m_4241-k_6-p_0.2.txt;6;6;0;s
synth-n_200-m_4270-k_8-p_0.2.txt;8;8;0;s
synth-n_200-m_4411-k_15-p_0.2.txt;15;15;0;s
synth-n_200-m_4591-k_20-p_0.2.txt;20;20;0;s
synth-n_200-m_4629-k_25-p_0.2.txt;25;24;0;s
synth-n_200-m_4765-k_30-p_0.2.txt;30;28;0;s
synth-n_225-m_1274-k_4-p_0.05.txt;4;4;4;s
synth-n_225-m_1286-k_2-p_0.05.txt;2;2;2;s
synth-n_225-m_1352-k_6-p_0.05.txt;6;6;6;s
synth-n_225-m_1385-k_8-p_0.05.txt;8;8;8;s
synth-n_225-m_1390-k_10-p_0.05.txt;10;10;1;s
synth-n_225-m_1391-k_15-p_0.05.txt;15;14;0;s
synth-n_225-m_1470-k_20-p_0.05.txt;19;13;0;s
synth-n_225-m_1484-k_25-p_0.05.txt;25;15;2;s
synth-n_225-m_1517-k_30-p_0.05.txt;30;14;0;s
synth-n_225-m_2523-k_2-p_0.1.txt;2;2;2;s
synth-n_225-m_2681-k_10-p_0.1.txt;10;9;0;s
synth-n_225-m_2685-k_6-p_0.1.txt;6;6;1;s
synth-n_225-m_2691-k_8-p_0.1.txt;8;7;0;s
synth-n_225-m_2732-k_4-p_0.1.txt;4;4;4;s
synth-n_225-m_2816-k_15-p_0.1.txt;15;9;1;s
synth-n_225-m_2884-k_20-p_0.1.txt;20;17;0;s
synth-n_225-m_2884-k_25-p_0.1.txt;25;22;0;s
synth-n_225-m_2964-k_30-p_0.1.txt;30;26;0;s
synth-n_225-m_4993-k_2-p_0.2.txt;2;2;2;s
synth-n_225-m_5212-k_6-p_0.2.txt;6;6;0;s
synth-n_225-m_5223-k_4-p_0.2.txt;4;4;0;s
synth-n_225-m_5291-k_8-p_0.2.txt;8;8;0;s
synth-n_225-m_5365-k_10-p_0.2.txt;10;10;0;s
synth-n_225-m_5504-k_15-p_0.2.txt;15;15;0;s
synth-n_225-m_5734-k_20-p_0.2.txt;20;20;0;s
synth-n_225-m_5854-k_25-p_0.2.txt;25;24;0;s
synth-n_225-m_5936-k_30-p_0.2.txt;30;30;0;s
synth-n_250-m_1512-k_2-p_0.05.txt;2;2;2;s
synth-n_250-m_1569-k_4-p_0.05.txt;4;4;4;s
synth-n_250-m_1575-k_6-p_0.05.txt;6;6;6;s
synth-n_250-m_1667-k_8-p_0.05.txt;8;8;8;s
synth-n_250-m_1694-k_10-p_0.05.txt;10;8;0;s
synth-n_250-m_1710-k_15-p_0.05.txt;15;7;0;s
synth-n_250-m_1757-k_20-p_0.05.txt;20;12;1;s
synth-n_250-m_1814-k_25-p_0.05.txt;25;12;0;s
synth-n_250-m_1916-k_30-p_0.05.txt;30;21;0;s
synth-n_250-m_3124-k_4-p_0.1.txt;4;4;4;s
synth-n_250-m_3161-k_2-p_0.1.txt;2;2;2;s
synth-n_250-m_3199-k_8-p_0.1.txt;8;8;3;s
synth-n_250-m_3249-k_6-p_0.1.txt;6;6;6;s
synth-n_250-m_3387-k_10-p_0.1.txt;10;10;0;s
synth-n_250-m_3436-k_15-p_0.1.txt;15;15;1;s
synth-n_250-m_3475-k_20-p_0.1.txt;20;15;0;s
synth-n_250-m_3612-k_25-p_0.1.txt;25;20;0;s
synth-n_250-m_3681-k_30-p_0.1.txt;30;30;0;s
synth-n_250-m_6262-k_2-p_0.2.txt;2;2;2;s
synth-n_250-m_6353-k_4-p_0.2.txt;4;4;0;s
synth-n_250-m_6493-k_6-p_0.2.txt;6;6;6;s
synth-n_250-m_6538-k_8-p_0.2.txt;8;8;0;s
synth-n_250-m_6557-k_10-p_0.2.txt;10;10;0;s
synth-n_250-m_6833-k_15-p_0.2.txt;15;15;0;s
synth-n_250-m_7048-k_20-p_0.2.txt;20;20;0;s
synth-n_250-m_7157-k_25-p_0.2.txt;25;24;0;s
synth-n_250-m_7252-k_30-p_0.2.txt;30;28;0;s
synth-n_275-m_1895-k_2-p_0.05.txt;2;2;2;s
synth-n_275-m_1958-k_4-p_0.05.txt;4;4;4;s
synth-n_275-m_2019-k_8-p_0.05.txt;8;8;4;s
synth-n_275-m_2025-k_6-p_0.05.txt;6;6;6;s
synth-n_275-m_2051-k_10-p_0.05.txt;10;10;5;s
synth-n_275-m_2121-k_25-p_0.05.txt;25;21;0;s
synth-n_275-m_2122-k_15-p_0.05.txt;15;13;0;s
synth-n_275-m_2130-k_20-p_0.05.txt;20;17;0;s
synth-n_275-m_2220-k_30-p_0.05.txt;30;19;0;s
synth-n_275-m_3808-k_2-p_0.1.txt;2;2;2;s
synth-n_275-m_3815-k_6-p_0.1.txt;6;6;1;s
synth-n_275-m_3851-k_4-p_0.1.txt;4;4;4;s
synth-n_275-m_3928-k_10-p_0.1.txt;10;10;6;s
synth-n_275-m_3928-k_8-p_0.1.txt;8;8;8;s
synth-n_275-m_4227-k_15-p_0.1.txt;15;15;1;s
synth-n_275-m_4276-k_20-p_0.1.txt;20;19;0;s
synth-n_275-m_4371-k_30-p_0.1.txt;30;29;0;s
synth-n_275-m_4399-k_25-p_0.1.txt;25;14;0;s
synth-n_275-m_7607-k_2-p_0.2.txt;2;2;2;s
synth-n_275-m_7697-k_4-p_0.2.txt;4;4;0;s
synth-n_275-m_7718-k_8-p_0.2.txt;8;8;0;s
